Ensembl Gene ID	RefSeq mRNA	RefSeq Protein ID	RefSeq Predicted Protein ID
ENSG00000197312			
ENSG00000005007	NM_002911	NP_002902	
ENSG00000153253	NM_006922	NP_008853	
ENSG00000188011			
ENSG00000188011	NM_173821	NP_776182	
ENSG00000153253	NM_001081676	NP_001075146	
ENSG00000153253	NM_001081677	NP_001075146	
ENSG00000153253	NM_001081676	NP_001075145	
ENSG00000153253	NM_001081677	NP_001075145	
ENSG00000153246	NM_001195641	NP_001182570	
ENSG00000153246	NM_007366	NP_001182570	
ENSG00000153246	NM_001195641	NP_031392	
ENSG00000153246	NM_007366	NP_031392	
ENSG00000153246	NM_001007267	NP_001007268	
ENSG00000153253			
ENSG00000216921			XP_001722695
ENSG00000161955	NM_001198624	NP_001185553	
ENSG00000216921			
ENSG00000161955			
ENSG00000161955	NM_172087	NP_742084	
ENSG00000161955	NM_003808	NP_003799	
ENSG00000161955	NM_172088	NP_742085	
ENSG00000173436	NM_001204083	NP_001191012	
ENSG00000173436	NM_001204082	NP_001191012	
ENSG00000173436	NM_001032363	NP_001191012	
ENSG00000173436	NM_001204083	NP_001191011	
ENSG00000173436	NM_001204082	NP_001191011	
ENSG00000173436	NM_001032363	NP_001191011	
ENSG00000173436	NM_001204083	NP_001027535	
ENSG00000173436	NM_001204082	NP_001027535	
ENSG00000173436	NM_001032363	NP_001027535	
ENSG00000161955	NM_001198623	NP_001185553	
ENSG00000161955	NM_001198622	NP_001185553	
ENSG00000161955	NM_001198624	NP_001185552	
ENSG00000161955	NM_001198623	NP_001185552	
ENSG00000161955	NM_001198622	NP_001185552	
ENSG00000161955	NM_001198624	NP_001185551	
ENSG00000161955	NM_001198623	NP_001185551	
ENSG00000161955	NM_001198622	NP_001185551	
ENSG00000223802	NM_001492	NP_937850	
ENSG00000223802	NM_021267	NP_937850	
ENSG00000223802	NM_001492	NP_067090	
ENSG00000223802	NM_021267	NP_067090	
ENSG00000223802	NM_198207	NP_937850	
ENSG00000142623	NM_013358	NP_037490	
ENSG00000223802			
ENSG00000142623			
ENSG00000130283	NM_001492	NP_001483	
ENSG00000130283	NM_021267	NP_001483	
ENSG00000215695	NM_006511	NP_006502	
ENSG00000172031	NM_173567	NP_775838	
